"Gene" "control diet" "LIDPAD_48weeks"
"62" "MIR133B" 4.8042086246255 4.8042086246255
"63" "IL17A" 4.8042086246255 4.8042086246255
"64" "IL17F" 4.8042086246255 4.8042086246255
"65" "MCM3" 6.23525166178056 6.70419389324188
"66" "PAQR8" 5.4082548872665 5.27645734958109
"67" "EFHC1" 4.8042086246255 5.33161740733695
"68" "TRAM2" 6.80541746998685 7.12290263341213
"69" "TMEM14A" 5.93979290451336 5.89081494298817
"70" "GSTA5" 12.6751846369226 12.3290274643038
"71" "KCNQ5" 5.15464567659484 5.38132291929405
"72" "RIMS1" 4.8042086246255 4.8042086246255
"73" "PPP1R14B" 4.8042086246255 4.8042086246255
"74" "MIR30A" 5.15464567659484 4.8042086246255
"75" "MIR30C2" 4.8042086246255 4.8042086246255
"76" "OGFRL1" 7.18762456423408 6.84263393225485
"77" "B3GAT2" 5.23288184387008 5.61510760613109
"78" "SMAP1" 6.38958485850662 6.62279248935077
"79" "SDHAF4" 6.45201066228944 6.35455113608324
"80" "FAM135A" 8.50586638536149 8.28366842467262
"81" "COL9A1" 4.8042086246255 4.8042086246255
"82" "COL19A1" 4.8042086246255 5.1388808441977
"83" "LMBRD1" 8.99174810668595 9.09284617067879
"84" "ADGRB3" 4.8042086246255 4.8042086246255
"85" "RNU6-553P" 4.8042086246255 4.8042086246255
"86" "PHF3" 9.26140549457561 9.07067160453491
"87" "PTP4A1" 6.21670313159218 6.19270534247235
"88" "ALYREF" 4.8042086246255 4.8042086246255
"89" "LGSN" 4.8042086246255 4.8042086246255
"90" "DNAAF6" 4.8042086246255 4.8042086246255
"91" "KHDRBS2" 4.8042086246255 4.8042086246255
"92" "RNU6-1088P" 4.8042086246255 4.8042086246255
"93" "RNU6-1048P" 4.8042086246255 4.8042086246255
"94" "PRIM2" 5.71829242314136 5.46915356393888
"95" "RAB23" 6.49674375586089 6.30841677953576
"96" "BAG2" 5.65244195583704 5.4268835057254
"97" "ZNF451" 7.94071987654585 7.82084282118324
"98" "BEND6" 5.15464567659484 4.8042086246255
"99" "DST" 9.90124259909215 10.4560746843128
"100" "RNU6-496P" 4.8042086246255 4.8042086246255
"101" "CCDC115" 6.2890893847959 6.3393806604567
"102" "IMP4" 7.49804613232572 7.59277431976501
"103" "PTPN18" 4.8042086246255 5.67822735473274
"104" "CFC1B" 4.8042086246255 4.8042086246255
"105" "AMER3" 4.8042086246255 4.8042086246255
"106" "FAM168B" 8.67998174538814 8.84923907575064
"107" "PLEKHB2" 7.11775147698716 7.52181325468084
"108" "RNU6-729P" 4.8042086246255 4.8042086246255
"109" "HS6ST1" 8.80330322320992 8.48997559846989
"110" "UGGT1" 9.86835109226698 9.5085401328632
"111" "NEURL3" 6.0769719407648 6.82229349640528
"112" "ARID5A" 5.65244195583704 5.95902987350094
"113" "KANSL3" 8.37068430669214 8.06293113569898
"114" "FER1L5" 5.83597722423755 5.81711929088436
"115" "LMAN2L" 6.96588568620388 6.72650582937424
"116" "CNNM4" 6.09811243869191 6.57374037583509
"117" "CNNM3" 7.13556564934394 6.92092178495256
"118" "ANKRD23" 4.8042086246255 4.8042086246255
"119" "ANKRD39" 5.83597722423755 5.67822735473274
"120" "SEMA4C" 6.19783222591761 6.26030645439137
"121" "FAM178B" 4.8042086246255 5.1388808441977
"122" "COX5B" 9.38831441447459 8.6888447681042
"123" "ACTR1B" 8.48923556860064 8.45291592171447
"124" "C2orf92" 4.8042086246255 4.8042086246255
"125" "ZAP70" 5.96403553011963 5.6473240770109
"126" "TMEM131" 8.43467389235442 8.31503748500251
"127" "VWA3B" 5.23288184387008 5.33161740733695
"128" "CNGA3" 4.8042086246255 4.8042086246255
"129" "INPP4A" 7.89056103912323 7.34733561272764
"130" "COA5" 9.11140076769253 8.78126731278876
"131" "UNC50" 7.39980251738654 7.30533585639105
"132" "MGAT4A" 6.19783222591761 6.8120005412668
"133" "CRACDL" 4.8042086246255 5.27645734958109
"134" "TSGA10" 6.19783222591761 6.13906640048733
"135" "LIPT1" 6.23525166178056 6.00193775509656
"136" "MITD1" 6.78242119535901 6.59851270124454
"137" "LYG2" 4.8042086246255 4.8042086246255
"138" "LYG1" 4.8042086246255 4.8042086246255
"139" "TXNDC9" 7.99390322547717 7.72987289843861
"140" "EIF5B" 8.11652050451325 8.04635885271832
"141" "REV1" 6.78242119535901 6.9113914633463
"142" "AFF3" 5.29859812308619 6.00193775509656
"143" "LONRF2" 4.8042086246255 4.8042086246255
"144" "CHST10" 4.8042086246255 5.46915356393888
"145" "NMS" 4.8042086246255 4.8042086246255
"146" "PDCL3" 6.8502017458972 6.69288681889868
"147" "NPAS2" 7.09057468329602 5.6473240770109
"148" "RPL31" 9.73293784373528 9.52492312787042
"149" "TBC1D8" 7.09057468329602 7.08154997472596
"150" "CNOT11" 7.0440036936547 6.96755226484016
"151" "SNORD89" 5.05230885153046 5.27645734958109
"152" "RNF149" 8.33757672289257 8.33216999469313
"153" "CREG2" 4.8042086246255 5.27645734958109
"154" "RFX8" 4.8042086246255 5.1388808441977
"155" "MAP4K4" 7.15314490556371 7.96044291846662
"156" "IL1R2" 4.8042086246255 4.8042086246255
"157" "IL1R1" 8.13381348460816 8.19646062958035
"158" "IL1RL2" 5.4558750555965 5.27645734958109
"159" "IL1RL1" 4.8042086246255 5.27645734958109
"160" "IL18R1" 5.29859812308619 5.54603806016391
"161" "IL18RAP" 5.05230885153046 5.21364100609105
"162" "SLC9A4" 4.8042086246255 5.1388808441977
"163" "SLC9A2" 4.8042086246255 4.8042086246255
"164" "MFSD9" 5.54138109093382 5.27645734958109
"165" "TMEM182" 4.8042086246255 4.8042086246255
"166" "POU3F3" 4.8042086246255 4.8042086246255
"167" "MRPS9" 7.0152513657479 7.16300927858565
"168" "GPR45" 4.8042086246255 4.8042086246255
"169" "TGFBRAP1" 8.19684266529515 8.32875997815163
"170" "C2orf49" 6.98585581873407 7.07312248057399
"171" "FHL2" 4.8042086246255 6.04304810839836
"172" "NCK2" 6.2890893847959 6.48280191020046
"173" "ECRG4" 5.15464567659484 5.1388808441977
"174" "UXS1" 6.81676160269373 6.39889265550973
"175" "TPP2" 8.95357361905592 8.65394525446627
"176" "METTL21C" 5.4082548872665 5.46915356393888
"177" "CCDC168" 5.05230885153046 4.8042086246255
"178" "TEX30" 5.77917395300072 5.76431126353416
"179" "POGLUT2" 6.17862493441447 6.10172682209542
"180" "BIVM-ERCC5" 7.30178021064407 6.8120005412668
"181" "GULP1" 5.50004280587026 5.86691446604807
"182" "COL3A1" 8.35238646178172 10.641465692032
"183" "COL5A2" 6.40550809871165 7.66575166094086
"184" "WDR75" 7.03448917080104 7.05610473146208
"185" "SLC40A1" 10.2347056853153 10.1301334386954
"186" "DNAH7" 5.15464567659484 6.06298629817486
"187" "SLC39A10" 6.59504146632895 6.72650582937424
"188" "RNU1-104P" 5.15464567659484 5.46915356393888
"189" "TMEFF2" 5.15464567659484 4.8042086246255
"190" "CAVIN2" 7.26211034524512 7.18650788714992
"191" "NABP1" 7.55118431601078 7.78616616502866
"192" "MYO1B" 10.9996840414456 10.0624220058011
"193" "STAT4" 5.15464567659484 5.4268835057254
"194" "STAT1" 7.35543707502623 7.45338958613534
"195" "GLS" 7.25403470078251 8.12340060971945
"196" "RNU6-49P" 4.8042086246255 4.8042086246255
"197" "NAB1" 9.0494330013433 8.98270486168385
"198" "NEMP2" 5.58034414053573 5.89081494298817
"199" "MFSD6" 7.18762456423408 7.18650788714992
"200" "INPP1" 6.91457935862308 7.17872075284383
"201" "HIBCH" 8.6623100105426 8.72032055809722
"202" "C2orf88" 5.4082548872665 4.8042086246255
"203" "MSTN" 4.8042086246255 4.8042086246255
"204" "PMS1" 6.92500392682031 6.63475454691091
"205" "ORMDL1" 7.50480161937437 7.13102103649651
"206" "OSGEPL1" 6.91457935862308 6.50949595644477
"207" "ASNSD1" 4.8042086246255 5.27645734958109
"208" "STK17B" 7.17049579047618 7.15508377993179
"209" "HECW2" 6.71081090934053 6.59851270124454
"210" "CCDC150" 4.8042086246255 5.1388808441977
"211" "GTF3C3" 7.58338536356142 7.47239106233835
"212" "C2orf66" 4.8042086246255 4.8042086246255
"213" "PGAP1" 8.35238646178172 8.23345104964945
"214" "ANKRD44" 6.86115728807626 7.06464098373783
"215" "SF3B1" 10.0676062651591 10.2279033207307
"216" "COQ10B" 7.3250360942624 7.55774965654564
"217" "HSPE1" 8.76520544412996 8.74348093313188
"218" "HSPE1-MOB4" 7.47757821153219 7.57537293510771
"219" "RFTN2" 5.29859812308619 5.54603806016391
"220" "MARS2" 6.32358726908924 6.58618953069483
"221" "BOLL" 5.15464567659484 4.8042086246255
"222" "PLCL1" 5.4082548872665 5.79112197536837
"223" "HSFY2" 4.8042086246255 4.8042086246255
"224" "SATB2" 5.4558750555965 5.27645734958109
"225" "C2orf69" 8.26111985704201 7.70351385118494
"226" "TYW5" 6.23525166178056 6.21000357602032
"227" "MAIP1" 6.96588568620388 6.46922645093669
"228" "SPATS2L" 5.50004280587026 6.13906640048733
"229" "KCTD18" 6.52565731753995 6.71539955594968
"230" "SGO2" 4.8042086246255 5.50872733688904
"231" "AOX1" 9.2437365239646 10.1475368962389
"232" "BZW1" 9.8848907427686 9.86845458196195
"233" "CLK1" 9.28654973843502 9.02736244519846
"234" "PPIL3" 6.19783222591761 6.30841677953576
"235" "NIF3L1" 7.12668834834614 6.75924758164228
"236" "ORC2" 6.46711048325492 6.35455113608324
"237" "FAM126B" 8.48923556860064 8.60135406971922
"238" "NDUFB3" 7.51152410209687 7.71411741473761
"239" "FLACC1" 4.8042086246255 5.61510760613109
"240" "CFLAR" 9.79484829321771 9.65103266531367
"241" "CASP8" 7.49804613232572 7.74545224179281
"242" "TRAK2" 7.75670011588833 8.14299557717218
"243" "STRADB" 7.76230797855467 7.8257271881167
"244" "C2CD6" 4.8042086246255 4.8042086246255
"245" "TMEM237" 5.50004280587026 6.12056386043788
"246" "MPP4" 5.98768163381128 5.46915356393888
"247" "ALS2" 9.53910461919247 8.99988164069562
"248" "CDK15" 4.8042086246255 4.8042086246255
"249" "FZD7" 7.56415495270273 7.57537293510771
"250" "KIAA2012" 4.8042086246255 5.1388808441977
"251" "SUMO1" 7.59605862596028 7.96044291846662
"252" "NOP58" 7.40705851717135 7.27659539164245
"253" "SNORD70" 4.8042086246255 4.8042086246255
"254" "SNORD70B" 4.8042086246255 4.8042086246255
"255" "SNORD11B" 4.8042086246255 4.8042086246255
"256" "SNORD11" 4.8042086246255 5.33161740733695
"257" "BMPR2" 9.43920546586478 9.47366968661053
"258" "FAM117B" 6.79397135437005 6.65833586381683
"259" "ICA1L" 4.8042086246255 5.1388808441977
"260" "WDR12" 7.23773689683486 6.73751467100124
"261" "CARF" 6.42121570946038 6.64660151069218
"262" "NBEAL1" 9.65494977002683 10.0746046603657
"263" "CYP20A1" 6.9557849299918 7.26931384731955
"264" "ABI2" 6.94560529653696 7.57537293510771
"265" "RAPH1" 9.73153135894357 10.0009781499102
"266" "CD28" 5.29859812308619 5.98072098369715
"267" "CTLA4" 4.8042086246255 4.8042086246255
"268" "ICOS" 5.65244195583704 5.6473240770109
"269" "PARD3B" 7.02490542841386 7.08154997472596
"270" "NRP2" 7.50480161937437 8.55842163950161
"271" "INO80D" 8.20503851394377 8.52312074862507
"272" "NDUFS1" 9.36126721925072 9.32846148247478
"273" "EEF1B2" 9.54392199958256 9.38015025828162
"274" "SNORD51" 4.8042086246255 4.8042086246255
"275" "SNORA41" 5.23288184387008 5.27645734958109
"276" "CMKLR2" 4.8042086246255 5.04112230666939
"277" "ZDBF2" 4.8042086246255 4.8042086246255
"278" "ADAM23" 7.84910184659392 7.45338958613534
"279" "FAM237A" 4.8042086246255 4.8042086246255
"280" "DYTN" 4.8042086246255 4.8042086246255
"281" "MDH1B" 4.8042086246255 4.8042086246255
"282" "FASTKD2" 7.22951347078946 7.23230501255024
"283" "KLF7" 6.46711048325492 6.48280191020046
"284" "CREB1" 7.99390322547717 8.27660240016242
"285" "METTL21A" 6.45201066228944 6.65833586381683
"286" "CCNYL1" 6.48201967839368 6.12056386043788
"287" "FZD5" 6.91457935862308 6.66996000298186
"288" "PLEKHM3" 6.11882819240081 7.08154997472596
"289" "RNU1-134P" 4.8042086246255 4.8042086246255
"290" "CRYGC" 4.8042086246255 4.8042086246255
"291" "CRYGB" 4.8042086246255 4.8042086246255
"292" "CRYGA" 4.8042086246255 4.8042086246255
"293" "C2orf80" 4.8042086246255 4.8042086246255
"294" "IDH1" 11.1943270215135 10.9225982717023
"295" "PIKFYVE" 9.07853684988159 8.87041927694528
"296" "PTH2R" 4.8042086246255 4.8042086246255
"297" "MAP2" 5.29859812308619 6.06298629817486
"298" "RNU1-33P" 4.8042086246255 4.8042086246255
"299" "UNC80" 4.8042086246255 4.8042086246255
"300" "RPEL1" 7.72831754198091 7.62129900855028
"301" "KANSL1L" 7.73404046846658 7.73508538251706
"302" "ACADL" 9.06741281265194 9.65238867325088
"303" "MYL1" 4.8042086246255 4.8042086246255
"304" "LANCL1" 7.09057468329602 6.94910003016571
"305" "CPS1" 15.2679377345722 13.408455409781
"306" "ERBB4" 6.72303266289107 7.39475065692342
"307" "IKZF2" 5.29859812308619 6.38430120544605
"308" "SPAG16" 4.8042086246255 4.8042086246255
"309" "RNU6-1156P" 4.8042086246255 4.8042086246255
"310" "VWC2L" 4.8042086246255 4.8042086246255
"311" "BARD1" 5.15464567659484 5.67822735473274
"312" "ABCA12" 5.05230885153046 4.8042086246255
"313" "ATIC" 7.54465300069814 7.44699680963135
"314" "FN1" 13.6236429501061 13.1327163033243
"315" "MREG" 8.74016727616866 7.66027232262742
"316" "PECR" 9.17702478447436 8.42127890164692
"317" "TMEM169" 4.8042086246255 4.8042086246255
"318" "XRCC5" 7.60861687159508 7.46608642751697
"319" "MARCHF4" 4.8042086246255 4.8042086246255
"320" "SMARCAL1" 7.08139066952723 7.20194776222503
"321" "ANKAR" 4.8042086246255 4.8042086246255
"322" "RPL37A" 9.63552643413844 9.3301582028024
"323" "IGFBP2" 10.1790691617804 9.56003312712894
"324" "IGFBP5" 6.19783222591761 6.68147624263592
"325" "TNP1" 4.8042086246255 4.8042086246255
"326" "TNS1" 9.33184468388017 10.2459678944855
"327" "RUFY4" 4.8042086246255 5.46915356393888
"328" "CXCR2" 5.29859812308619 5.21364100609105
"329" "ARPC2" 8.89433528278182 9.17638366925615
"330" "GPBAR1" 4.8042086246255 5.1388808441977
"331" "AAMP" 8.95840138697414 8.486923837848
"332" "PNKD" 9.19143700363882 8.24798115681849
"333" "TMBIM1" 8.20911873006929 8.15075819207012
"334" "CATIP" 5.29859812308619 4.8042086246255
"335" "SLC11A1" 6.53985659398804 7.30533585639105
"336" "CTDSP1" 9.64452363515545 8.78126731278876
"337" "MIR26B" 4.8042086246255 5.1388808441977
"338" "VIL1" 4.8042086246255 4.8042086246255
"339" "USP37" 7.05345007045036 7.38137095336298
"340" "CNOT9" 7.385173818014 7.00369300439135
"341" "PLCD4" 5.15464567659484 5.1388808441977
"342" "ZNF142" 6.25349087762958 6.90179049560285
"343" "BCS1L" 6.73513645494326 6.48280191020046
"344" "RNF25" 6.90407024623149 6.45549322183795
"345" "STK36" 5.50004280587026 5.1388808441977
"346" "TTLL4" 8.08128661078619 7.71411741473761
"347" "CYP27A1" 11.2947911822544 10.1798474030809
"348" "PRKAG3" 5.15464567659484 5.21364100609105
"349" "WNT6" 4.8042086246255 4.8042086246255
"350" "WNT10A" 4.8042086246255 4.8042086246255
"351" "CDK5R2" 4.8042086246255 4.8042086246255
"352" "FEV" 4.8042086246255 4.8042086246255
"353" "CRYBA2" 4.8042086246255 4.8042086246255
"354" "MIR375" 4.8042086246255 4.8042086246255
"355" "CFAP65" 4.8042086246255 4.8042086246255
"356" "IHH" 5.83597722423755 5.73661589030419
"357" "NHEJ1" 5.80804026478664 5.79112197536837
"358" "SLC23A3" 4.8042086246255 4.8042086246255
"359" "CNPPD1" 8.34129364761902 7.91543472761386
"360" "RETREG2" 9.80424396308033 9.11468332551096
"361" "ZFAND2B" 6.8502017458972 7.00369300439135
"362" "ABCB6" 5.58034414053573 5.76431126353416
"363" "ANKZF1" 7.25403470078251 7.07312248057399
"364" "GLB1L" 5.83597722423755 6.35455113608324
"365" "STK16" 8.184459300042 7.6547712787874
"366" "TUBA4A" 9.81224888309732 8.75111846724036
"367" "DNAJB2" 8.11216400893773 7.67664592600144
"368" "PTPRN" 5.15464567659484 4.8042086246255
"369" "RESP18" 4.8042086246255 4.8042086246255
"370" "DNPEP" 8.12519342900972 7.83544508370679
"371" "DES" 5.86305964212657 6.48280191020046
"372" "SPEG" 5.15464567659484 5.79112197536837
"373" "GMPPA" 7.29393873598051 7.22477970491782
"374" "ASIC4" 4.8042086246255 4.8042086246255
"375" "CHPF" 5.71829242314136 6.06298629817486
"376" "OBSL1" 5.4082548872665 5.84236529308121
"377" "TMEM198" 4.8042086246255 5.1388808441977
"378" "INHA" 4.8042086246255 5.1388808441977
"379" "STK11IP" 6.37343888004847 6.46922645093669
"380" "SLC4A3" 4.8042086246255 5.79112197536837
"381" "EPHA4" 5.50004280587026 5.89081494298817
"382" "PAX3" 4.8042086246255 4.8042086246255
"383" "SGPP2" 5.15464567659484 5.38132291929405
"384" "FARSB" 7.98438180687072 7.78616616502866
"385" "ERVW-1" 4.8042086246255 5.27645734958109
"386" "MOGAT1" 4.8042086246255 5.70795337303042
"387" "ACSL3" 8.38155106984464 8.26950102521203
"388" "UTP14A" 7.96514358084706 8.18894525131046
"389" "KCNE4" 5.15464567659484 4.8042086246255
"390" "SCG2" 4.8042086246255 4.8042086246255
"391" "AP1S3" 5.29859812308619 5.73661589030419
"392" "WDFY1" 7.36293232922811 7.26199284635832
"393" "MRPL44" 7.0440036936547 6.75924758164228
"394" "SERPINE2" 6.21670313159218 6.72650582937424
"395" "FAM124B" 4.8042086246255 4.8042086246255
"396" "CUL3" 8.84563705095778 8.90047041330906
"397" "CCDC195" 4.8042086246255 4.8042086246255
"398" "DOCK10" 7.23773689683486 8.53498504100527
"399" "NYAP2" 4.8042086246255 4.8042086246255
"400" "IRS1" 8.28062346646061 8.050520205291
"401" "RHBDD1" 7.385173818014 7.53989850689655
"402" "COL4A4" 5.29859812308619 5.93683636927662
"403" "COL4A3" 5.15464567659484 5.76431126353416
"404" "MFF" 7.88544517477417 7.95600638261058
"405" "TM4SF20" 4.8042086246255 5.21364100609105
"406" "AGFG1" 8.0723390953069 8.3658276521528
"407" "SLC19A3" 5.15464567659484 4.8042086246255
"408" "CCL20" 4.8042086246255 5.38132291929405
"409" "DAW1" 4.8042086246255 5.1388808441977
"410" "SPHKAP" 4.8042086246255 4.8042086246255
"411" "PID1" 9.89873898133384 9.14006973329618
"412" "DNER" 4.8042086246255 4.8042086246255
"413" "TRIP12" 10.3897837537567 10.4467344114247
"414" "FBXO36" 5.68605671051016 5.76431126353416
"415" "SLC16A14" 4.8042086246255 4.8042086246255
"416" "SP110" 5.83597722423755 6.56116224815313
"417" "SP140" 7.00552585381089 7.73508538251706
"418" "CAB39" 8.97992739383569 8.86808132849923
"419" "ITM2C" 7.92087075334044 8.29769583981445
"420" "GPR55" 4.8042086246255 4.8042086246255
"421" "SPATA3" 5.15464567659484 4.8042086246255
"422" "C2orf72" 8.94630134498047 8.33216999469313
"423" "PSMD1" 9.34294883203435 9.34869111615381
"424" "HTR2B" 5.77917395300072 5.70795337303042
"425" "ARMC9" 6.0553842866584 6.32400479322309
"426" "B3GNT7" 4.8042086246255 4.8042086246255
"427" "NCL" 9.01972651224894 9.20995938092494
"428" "SNORA75" 4.8042086246255 4.8042086246255
"429" "SNORD82" 4.8042086246255 4.8042086246255
"430" "NMUR1" 4.8042086246255 4.8042086246255
"431" "TEX44" 4.8042086246255 4.8042086246255
"432" "PDE6D" 5.23288184387008 5.76431126353416
"433" "COPS7B" 6.59504146632895 6.41330247027345
"434" "NPPC" 4.8042086246255 4.8042086246255
"435" "DIS3L2" 7.2781181912719 7.36785869314715
"436" "ALPP" 4.8042086246255 4.8042086246255
"437" "ECEL1" 4.8042086246255 4.8042086246255
"438" "PRSS56" 4.8042086246255 4.8042086246255
"439" "CHRND" 4.8042086246255 4.8042086246255
"440" "CHRNG" 4.8042086246255 5.04112230666939
"441" "EIF4E2" 8.02673038389529 7.7811413782122
"442" "EFHD1" 5.15464567659484 5.27645734958109
"443" "GIGYF2" 8.34500087830027 8.3658276521528
"444" "KCNJ13" 5.35628674827745 5.38132291929405
"445" "SNORC" 5.15464567659484 5.1388808441977
"446" "NGEF" 7.39250776370876 7.63254643204547
"447" "NEU2" 5.4558750555965 5.38132291929405
"448" "INPP5D" 6.71081090934053 7.68745546201264
"449" "ATG16L1" 8.12951002431758 7.91543472761386
"450" "SAG" 4.8042086246255 4.8042086246255
"451" "DGKD" 7.63952324210191 8.22245492486411
"452" "USP40" 8.2532427343167 8.47772915231453
"453" "UGT1A9" 5.05230885153046 4.8042086246255
"454" "UGT1A6" 5.29859812308619 5.81711929088436
"455" "UGT1A4" 7.65774176484087 6.93038259043658
"456" "UGT1A1" 8.42070052895651 8.46537655323149
"457" "MROH2A" 6.25349087762958 6.64660151069218
"458" "HJURP" 9.49997355806784 9.94012972746935
"459" "TRPM8" 4.8042086246255 4.8042086246255
"460" "SPP2" 8.62325459716033 8.5379357582201
"461" "ARL4C" 5.91491360378652 6.42753588264095
"462" "SH3BP4" 5.71829242314136 6.30841677953576
"463" "AGAP1" 7.16184849670673 7.50962316413946
"464" "GBX2" 4.8042086246255 4.8042086246255
"465" "ASB18" 4.8042086246255 4.8042086246255
"466" "IQCA1" 4.8042086246255 4.8042086246255
"467" "ACKR3" 5.29859812308619 5.50872733688904
"468" "COPS8" 7.3173283487805 7.38137095336298
"469" "COL6A3" 7.17049579047618 9.97196122018558
"470" "MLPH" 5.4082548872665 5.91410950199526
"471" "PRLH" 4.8042086246255 4.8042086246255
"472" "RAB17" 6.99572773434071 6.93977498102358
"473" "LRRFIP1" 8.39591215941568 8.26950102521203
"474" "RBM44" 4.8042086246255 4.8042086246255
"475" "RAMP1" 5.71829242314136 5.84236529308121
"476" "UBE2F-SCLY" 7.90579768269311 7.67664592600144
"477" "SCLY" 8.72322832737924 8.40519280717295
"478" "ESPNL" 4.8042086246255 4.8042086246255
"479" "KLHL30" 4.8042086246255 4.8042086246255
"480" "ERFE" 5.15464567659484 5.27645734958109
"481" "ILKAP" 7.58338536356142 7.71411741473761
"482" "HES6" 8.23735604437871 7.40139164974066
"483" "PER2" 7.17049579047618 8.13519013525816
"484" "TRAF3IP1" 6.11882819240081 6.46922645093669
"485" "ASB1" 6.49674375586089 6.69288681889868
"486" "TWIST2" 4.8042086246255 5.1388808441977
"487" "HDAC4" 7.0721425489838 7.54587458838821
"488" "NDUFA10" 9.35030422422241 8.87275341576349
"489" "OR6B3" 4.8042086246255 4.8042086246255
"490" "OTOS" 4.8042086246255 4.8042086246255
"491" "GPC1" 6.46711048325492 7.29104189688347
"492" "ANKMY1" 5.15464567659484 5.33161740733695
"493" "DUSP28" 6.15906619709365 5.93683636927662
"494" "RNPEPL1" 8.28835048880459 8.56422112810042
"495" "CAPN10" 7.39980251738654 6.56116224815313
"496" "GPR35" 5.4082548872665 6.1751242713118
"497" "AQP12B" 4.8042086246255 4.8042086246255
"498" "KIF1A" 4.8042086246255 5.58141322656787
"499" "AGXT" 10.4302010779331 7.93811894858603
"500" "MAB21L4" 5.15464567659484 5.1388808441977
"501" "CROCC2" 4.8042086246255 4.8042086246255
"502" "SNED1" 7.44980428081671 7.08154997472596
"503" "MTERF4" 6.97590888692416 6.82229349640528
"504" "PASK" 5.29859812308619 5.54603806016391
"505" "RNU6-998P" 4.8042086246255 4.8042086246255
"506" "ANO7" 4.8042086246255 4.8042086246255
"507" "HDLBP" 11.6215834569032 11.2572638604279
"508" "SEPTIN2" 5.98768163381128 6.08253985577347
"509" "FARP2" 7.48443477733723 7.17088807451675
"510" "STK25" 7.94071987654585 7.85944882887153
"511" "BOK" 6.79397135437005 6.57374037583509
"512" "THAP4" 6.72303266289107 6.22702982602593
"513" "ATG4B" 7.59605862596028 7.3124266900321
"514" "DTYMK" 6.59504146632895 6.58618953069483
"515" "ING5" 6.71081090934053 6.61071276400889
"516" "RNU6-780P" 4.8042086246255 4.8042086246255
"517" "D2HGDH" 8.17196670741249 8.16615683763961
"518" "GAL3ST2" 5.15464567659484 5.21364100609105
